time,uniswap_min_price,uniswap_max_price,uniswap_volume,out_of_band_value
2025-07-15 09:00:00.000 UTC,1.0000013795693665,1.000230039470254,3318583.502426238,
2025-07-15 08:00:00.000 UTC,1.0000033099579548,1.0002230724571783,1357362.1438838053,
2025-07-15 07:00:00.000 UTC,1.0000264038939202,1.0002538962407914,1167747.7741618743,
2025-07-15 06:00:00.000 UTC,1.000052942823481,1.0002714406843485,1349195.573953059,
2025-07-15 05:00:00.000 UTC,1.00006095,1.0002653142316662,290127.1547961591,
2025-07-15 04:00:00.000 UTC,1.0000478632478633,1.000262536283872,690155.3040061932,
2025-07-15 03:00:00.000 UTC,1.000047,1.0002646099642507,1147198.1454596468,
2025-07-15 02:00:00.000 UTC,1.0000637522361693,1.000300442079059,2604740.813406938,
2025-07-15 01:00:00.000 UTC,1.0000537710323154,1.000264071050567,659948.1461587922,
2025-07-15 00:00:00.000 UTC,1.0000496367181668,1.00025364927402,475323.47178261925,
2025-07-14 23:00:00.000 UTC,1.0000494409822678,1.0002503382133152,101460.15943819513,
2025-07-14 22:00:00.000 UTC,1.000044058666239,1.0002497011132803,272555.05556413415,
2025-07-14 21:00:00.000 UTC,1.0000421742029553,1.0002452101913273,552701.7389298531,
2025-07-14 20:00:00.000 UTC,1.000047834379981,1.0002741740927295,1891970.2615454826,
2025-07-14 19:00:00.000 UTC,1.0000704715885878,1.0002852146575394,1288384.8157133632,
2025-07-14 18:00:00.000 UTC,1.000074625502008,1.0002780083534106,1483802.047121366,
2025-07-14 17:00:00.000 UTC,1.0000999916927367,1.0003439576689026,1909532.1132407063,
2025-07-14 16:00:00.000 UTC,1.000144036729909,1.0003651266680433,1431582.2665492073,
2025-07-14 15:00:00.000 UTC,1.000147387752317,1.0003529318876578,290175.3080615998,
2025-07-14 14:00:00.000 UTC,1.000141,1.0003474676591282,271693.00035243784,
2025-07-14 13:00:00.000 UTC,1.0001368611731303,1.0003760372631207,2637258.5423671007,
2025-07-14 12:00:00.000 UTC,1.0001133753678015,1.0003373396374666,722639.4026497983,
2025-07-14 11:00:00.000 UTC,1.0001137923315693,1.0003274725324878,727732.9969043852,
2025-07-14 10:00:00.000 UTC,1.0001136531846666,1.0004186843210017,2869723.508525494,
2025-07-14 09:00:00.000 UTC,1.0002182537459323,1.0004604568229045,1783732.8315220946,
2025-07-14 08:00:00.000 UTC,1.0002542113307686,1.000460034523731,620268.3681762888,
2025-07-14 07:00:00.000 UTC,1.0002585331778404,1.0005033853148315,1416765.921160631,
2025-07-14 06:00:00.000 UTC,1.0003012432088192,1.0005065115099638,421165.90300089563,
2025-07-14 05:00:00.000 UTC,1.0003023205832178,1.0005178363582514,536227.5797352475,
2025-07-14 04:00:00.000 UTC,1.0003088876001236,1.0005200427777126,551284.5228299295,
2025-07-14 03:00:00.000 UTC,1.0003110656235359,1.0006003602161297,384954.22291285946,
2025-07-14 02:00:00.000 UTC,1.000315635191514,1.0005202725629858,186837.93769616814,
2025-07-14 01:00:00.000 UTC,1.0003190436484652,1.0005197854696763,37608.042217035094,
2025-07-14 00:00:00.000 UTC,1.000320062806621,1.000528221836268,416724.2271986204,
2025-07-13 23:00:00.000 UTC,1.000321953755028,1.0005266235424057,25081.2951661677,
2025-07-13 22:00:00.000 UTC,1.0003255736707763,1.0005268852824334,65166.733554673534,
2025-07-13 21:00:00.000 UTC,1.0003254272193594,1.0005269618806703,79272.07113497797,
2025-07-13 20:00:00.000 UTC,1.0002470660901792,1.0005315037804168,165471.86611812926,
2025-07-13 19:00:00.000 UTC,1.0003298892312162,1.031452402192689,17452449.079833496,17319625.243619166
2025-07-13 18:00:00.000 UTC,1.0003257550016287,1.0005303144680973,157955.4967455435,
2025-07-13 17:00:00.000 UTC,1.000307857857858,1.0005259996402325,467906.60277971486,
2025-07-13 16:00:00.000 UTC,1.0003057960043862,1.0005080076865995,102163.12626932602,
2025-07-13 15:00:00.000 UTC,1.000298447057459,1.0005060565732258,308070.53995595983,
2025-07-13 14:00:00.000 UTC,1.0002946799999999,1.0005011750714723,201706.31447044556,
2025-07-13 13:00:00.000 UTC,1.0002942690597867,1.0005106556912724,487698.77118282876,
2025-07-13 12:00:00.000 UTC,1.0003098188833965,1.0005116933538196,88097.26794856177,
2025-07-13 11:00:00.000 UTC,1.000311053270729,1.000511413704838,15140.38439485271,
2025-07-13 10:00:00.000 UTC,1.0003110263331447,1.000514134998976,156832.3043584097,
2025-07-13 09:00:00.000 UTC,1.0003120971191937,1.0005141474470698,59843.72352170671,
2025-07-13 08:00:00.000 UTC,1.000312028913771,1.0005141569835798,11539.33888888713,
2025-07-13 07:00:00.000 UTC,1.000293482772214,1.000512253774646,753557.5562045234,
2025-07-13 06:00:00.000 UTC,1.0003014112903226,1.0005424073534643,1024260.5102508267,
2025-07-13 05:00:00.000 UTC,1.0003417360189764,1.0005459294138084,38469.9717676131,
2025-07-13 04:00:00.000 UTC,1.0003434301909382,1.0005459752463355,66481.89762249897,
2025-07-13 03:00:00.000 UTC,1.000317262416858,1.0005546311702718,814298.8178083872,
